Soil_Type;Soil_pH;Soil_Moisture;Organic_Carbon;Electrical_Conductivity;Nitrogen_Level;Phosphorus_Level;Potassium_Level;Temperature;Humidity;Rainfall;Crop_Type;Crop_Growth_Stage;Season;Irrigation_Type;Previous_Crop;Region;Fertilizer_Used_Last_Season;Yield_Last_Season;Recommended_Fertilizer
Sandy;75;4412;42;289;56;14;56;1278;4753;59346;Rice;Flowering;Rabi;Rainfed;Tomato;South;15876;446;Urea
Loamy;836;1427;74;173;153;55;11;1695;403;196878;Rice;Vegetative;Zaid;Drip;Maize;Central;28584;338;MOP
Clay;479;4133;68;173;157;13;14;3284;3055;63752;Cotton;Harvest;Rabi;Sprinkler;Wheat;North;13305;693;DAP
Clay;471;2404;74;284;135;40;46;380;8968;197612;Cotton;Flowering;Kharif;Rainfed;Sugarcane;East;7214;147;Compost
Sandy;825;3535;47;28;125;13;114;3214;4317;97448;Sugarcane;Flowering;Kharif;Drip;Potato;North;13592;326;DAP
Clay;662;4867;39;74;76;27;15;2583;7993;89553;Sugarcane;Sowing;Kharif;Canal;Sugarcane;South;14143;612;DAP
Silt;696;4528;86;28;111;43;51;3852;7933;27123;Cotton;Sowing;Kharif;Rainfed;Cotton;North;25027;226;DAP
Sandy;643;1595;141;224;35;57;60;3486;4416;80013;Rice;Vegetative;Zaid;Drip;Tomato;North;22878;447;Urea
Loamy;487;3956;71;15;133;72;92;2968;5494;262084;Maize;Flowering;Zaid;Canal;Sugarcane;West;20529;354;Compost
Sandy;757;5846;26;8;78;23;25;1114;8017;104988;Potato;Sowing;Zaid;Rainfed;Potato;Central;9812;33;DAP
Clay;749;1784;112;13;22;42;85;1863;7139;297544;Cotton;Harvest;Kharif;Sprinkler;Maize;West;24998;39;Urea
Loamy;575;5265;58;179;136;51;97;1925;5219;29466;Sugarcane;Harvest;Zaid;Rainfed;Sugarcane;Central;580;478;NPK
Sandy;572;4513;52;213;38;41;82;2042;8695;251731;Rice;Vegetative;Kharif;Rainfed;Rice;East;10481;315;Urea
Silt;785;487;62;71;116;52;76;2168;5054;263064;Potato;Vegetative;Rabi;Canal;Maize;East;18724;382;Zinc Sulphate
Silt;479;241;114;253;155;66;90;3818;4272;250513;Tomato;Flowering;Kharif;Rainfed;Maize;West;16899;536;Compost
Sandy;802;2439;126;255;38;24;39;3226;388;196301;Wheat;Vegetative;Zaid;Drip;Rice;Central;22263;332;Urea
Silt;553;553;96;194;55;59;36;3076;7208;246526;Cotton;Harvest;Kharif;Drip;Cotton;South;24826;709;Urea
Silt;687;2799;62;277;131;80;97;228;3174;195919;Cotton;Flowering;Rabi;Rainfed;Cotton;West;26625;662;SSP
Silt;824;1315;6;246;79;72;51;2013;8075;255806;Maize;Harvest;Rabi;Drip;Maize;North;29122;199;Zinc Sulphate
Loamy;721;4003;36;74;53;79;73;1359;4825;281955;Potato;Sowing;Zaid;Rainfed;Cotton;West;18834;694;Urea
Silt;616;1624;141;242;61;18;59;236;5219;23093;Tomato;Flowering;Rabi;Sprinkler;Potato;North;19513;226;DAP
Silt;726;4983;103;286;61;22;48;1616;7811;290112;Rice;Harvest;Zaid;Drip;Maize;West;19016;181;DAP
Silt;588;4209;24;5;107;27;16;2173;7885;145504;Maize;Harvest;Zaid;Sprinkler;Maize;Central;27406;784;DAP
Loamy;561;5374;106;294;41;44;82;1469;540;279108;Tomato;Vegetative;Kharif;Canal;Wheat;South;2431;485;Urea
Sandy;849;4924;78;17;106;10;25;2032;6323;83345;Wheat;Flowering;Kharif;Rainfed;Sugarcane;South;17434;708;DAP
Clay;75;1561;146;161;60;45;65;1129;7075;28783;Rice;Sowing;Zaid;Sprinkler;Potato;North;22104;273;NPK
Silt;708;2905;126;234;43;89;20;1018;7132;55867;Maize;Sowing;Zaid;Sprinkler;Potato;South;12622;761;Urea
Sandy;592;4873;42;239;70;76;18;361;6204;64869;Wheat;Vegetative;Rabi;Canal;Tomato;North;9156;73;MOP
Silt;47;3087;114;223;52;55;10;2924;8065;250839;Wheat;Sowing;Rabi;Canal;Sugarcane;Central;6182;476;Urea
Loamy;462;5862;83;164;47;46;53;2763;8049;132283;Cotton;Harvest;Rabi;Sprinkler;Rice;South;15369;69;Urea
Sandy;672;4679;44;199;109;81;44;2541;8093;8529;Potato;Flowering;Zaid;Canal;Maize;South;1431;369;Urea
Loamy;755;1077;111;213;101;38;93;318;4609;247436;Potato;Flowering;Kharif;Rainfed;Sugarcane;South;23966;521;DAP
Silt;665;540;91;153;141;53;60;3208;4541;76595;Rice;Sowing;Rabi;Canal;Cotton;Central;17584;566;NPK
Silt;786;1504;24;183;98;77;17;3806;3839;41805;Wheat;Harvest;Rabi;Canal;Cotton;North;9278;693;MOP
Loamy;463;1703;104;255;121;85;80;1733;7958;150533;Maize;Vegetative;Rabi;Sprinkler;Sugarcane;Central;7452;556;Compost
Clay;597;4672;103;101;41;86;46;3356;3364;39434;Rice;Vegetative;Zaid;Drip;Potato;West;6988;785;Urea
Loamy;545;5325;39;162;37;23;110;3973;3812;98103;Wheat;Sowing;Rabi;Rainfed;Potato;South;5446;109;Urea
Silt;629;3682;65;12;21;87;93;1087;8557;216094;Cotton;Harvest;Kharif;Sprinkler;Potato;North;6866;684;Urea
Loamy;479;2445;96;209;113;60;14;2122;3751;124869;Sugarcane;Vegetative;Rabi;Canal;Maize;North;23846;309;MOP
Clay;832;2757;38;67;108;83;85;2308;3728;44494;Sugarcane;Flowering;Zaid;Rainfed;Cotton;South;24337;179;Zinc Sulphate
Loamy;539;2714;131;149;58;18;30;3465;8455;132838;Potato;Vegetative;Kharif;Sprinkler;Tomato;West;13875;25;Urea
Clay;819;2633;24;71;36;78;93;1041;4861;16368;Sugarcane;Vegetative;Kharif;Sprinkler;Sugarcane;North;5825;657;Urea
Clay;62;2215;33;17;35;43;14;2796;8289;90064;Wheat;Sowing;Kharif;Canal;Potato;West;822;38;Urea
Loamy;844;4044;35;15;150;74;32;3678;5266;67849;Wheat;Sowing;Kharif;Drip;Rice;West;17686;564;MOP
Loamy;672;5502;89;133;61;36;66;1443;5242;233269;Maize;Harvest;Zaid;Drip;Wheat;East;29425;561;DAP
Sandy;822;2535;101;133;82;49;80;1347;3811;38994;Sugarcane;Flowering;Zaid;Canal;Sugarcane;East;8061;343;Zinc Sulphate
Silt;452;1933;72;71;48;17;74;3999;8512;287923;Sugarcane;Harvest;Rabi;Drip;Sugarcane;East;8858;472;Urea
Clay;749;5193;58;285;149;15;34;3478;757;22128;Rice;Sowing;Kharif;Sprinkler;Maize;North;15121;455;DAP
Sandy;811;4709;125;11;126;62;28;3092;4354;202348;Rice;Sowing;Zaid;Sprinkler;Potato;Central;20389;404;MOP
Loamy;506;5654;29;269;123;14;11;2197;7367;57409;Wheat;Vegetative;Kharif;Rainfed;Sugarcane;North;14798;273;DAP
Silt;488;1828;56;224;33;63;21;3562;3622;173187;Potato;Harvest;Kharif;Sprinkler;Sugarcane;West;20652;423;Urea
Sandy;62;1721;25;6;31;27;51;3768;6143;72447;Tomato;Flowering;Kharif;Sprinkler;Cotton;Central;6631;152;Urea
Clay;823;3707;22;147;43;80;34;3197;4526;2961;Wheat;Vegetative;Kharif;Drip;Wheat;North;9473;597;Urea
Sandy;667;4072;66;297;47;45;105;2194;8104;260735;Cotton;Vegetative;Zaid;Canal;Tomato;East;6771;445;Urea
Clay;661;3401;45;197;120;63;57;2751;6067;138702;Potato;Harvest;Zaid;Canal;Cotton;East;26877;659;Urea
Loamy;506;3995;55;47;153;43;116;1296;8527;97062;Sugarcane;Sowing;Rabi;Rainfed;Rice;North;24968;254;Compost
Silt;45;1902;127;143;49;41;91;1474;6511;285236;Sugarcane;Harvest;Kharif;Rainfed;Rice;Central;11669;38;Urea
Silt;774;3398;41;146;53;60;40;3349;6024;42957;Wheat;Sowing;Rabi;Drip;Cotton;West;23852;743;Urea
Silt;485;429;121;243;94;12;67;1088;7164;117583;Tomato;Vegetative;Zaid;Canal;Sugarcane;South;25271;467;DAP
Loamy;704;3164;108;276;35;74;70;1148;7704;69662;Tomato;Flowering;Kharif;Sprinkler;Potato;Central;26277;739;Urea
Clay;816;4397;62;34;46;22;53;2524;3092;297535;Tomato;Flowering;Rabi;Rainfed;Tomato;West;15826;378;Urea
Loamy;533;3256;91;101;131;17;18;1512;6134;172885;Maize;Sowing;Zaid;Canal;Sugarcane;West;29223;75;DAP
Silt;716;2668;78;97;68;53;30;1881;7654;247422;Rice;Flowering;Zaid;Canal;Rice;East;27307;445;MOP
Loamy;481;2518;37;299;156;39;63;2196;5445;6579;Sugarcane;Harvest;Rabi;Drip;Maize;North;22742;237;DAP
Loamy;692;3055;138;172;45;17;112;2567;3271;105242;Tomato;Sowing;Rabi;Drip;Rice;North;5798;457;Urea
Loamy;516;1115;94;265;25;67;80;1851;3105;193489;Maize;Vegetative;Rabi;Sprinkler;Rice;Central;23429;568;Urea
Clay;744;4343;134;134;154;17;22;2451;7763;69848;Potato;Flowering;Rabi;Rainfed;Tomato;South;20708;593;DAP
Sandy;57;5226;127;22;32;70;93;2112;4188;160017;Rice;Sowing;Zaid;Drip;Rice;North;28638;46;Urea
Sandy;635;2773;3;93;29;88;22;1243;405;280852;Potato;Flowering;Kharif;Canal;Cotton;North;16354;453;Urea
Loamy;69;123;47;274;62;62;61;3601;4737;280471;Cotton;Sowing;Kharif;Sprinkler;Maize;East;19712;266;Urea
Sandy;519;5934;39;142;129;80;37;1844;3613;119367;Tomato;Flowering;Rabi;Rainfed;Tomato;South;19218;154;MOP
Sandy;747;2318;128;243;131;85;110;2828;332;16452;Tomato;Flowering;Kharif;Sprinkler;Potato;North;5602;14;NPK
Loamy;571;1633;132;84;120;45;98;2709;8234;75554;Potato;Harvest;Zaid;Sprinkler;Cotton;South;10342;368;Zinc Sulphate
Loamy;715;2849;89;211;37;83;55;1598;4817;293985;Potato;Sowing;Rabi;Sprinkler;Cotton;West;9559;295;Urea
Silt;513;4693;34;127;30;71;57;109;6494;165564;Wheat;Vegetative;Rabi;Drip;Cotton;West;13872;727;Urea
Sandy;725;247;38;19;29;28;118;3571;8147;77768;Maize;Sowing;Kharif;Rainfed;Rice;North;11892;127;Urea
Clay;501;3874;126;13;72;27;99;2493;8865;256533;Rice;Harvest;Zaid;Canal;Maize;South;13081;674;DAP
Loamy;62;3078;141;17;73;53;117;2243;7131;137705;Tomato;Vegetative;Kharif;Sprinkler;Wheat;South;6854;458;NPK
Silt;549;1589;46;54;25;29;106;3289;8701;198118;Wheat;Harvest;Kharif;Sprinkler;Tomato;North;8823;656;Urea
Clay;749;2651;21;63;125;11;113;1099;5541;256199;Tomato;Sowing;Rabi;Sprinkler;Maize;North;17662;206;DAP
Sandy;555;4624;63;145;158;39;49;3296;7737;106577;Wheat;Vegetative;Kharif;Drip;Maize;East;1773;73;DAP
Silt;803;406;24;109;52;60;63;2227;8626;181813;Tomato;Vegetative;Zaid;Drip;Cotton;Central;7426;345;Urea
Loamy;807;1599;128;138;88;53;36;2655;3319;35714;Sugarcane;Sowing;Kharif;Drip;Maize;North;20138;785;MOP
Clay;529;1817;84;144;115;56;88;3257;4905;85672;Rice;Vegetative;Rabi;Rainfed;Tomato;South;29455;635;Compost
Loamy;696;4204;103;51;107;52;12;264;7442;58852;Wheat;Vegetative;Rabi;Rainfed;Maize;South;14801;694;MOP
Sandy;485;5067;73;63;74;20;102;1185;4892;200373;Sugarcane;Harvest;Rabi;Sprinkler;Cotton;West;9062;124;DAP
Clay;607;2747;65;256;70;51;104;3186;3102;91303;Tomato;Sowing;Zaid;Sprinkler;Wheat;North;29887;106;NPK
Sandy;735;3977;49;57;44;28;68;3359;7842;232796;Wheat;Vegetative;Kharif;Sprinkler;Maize;East;18159;231;Urea
Sandy;714;1853;12;203;124;12;113;2386;3988;233118;Rice;Vegetative;Kharif;Drip;Cotton;East;11073;59;DAP
Silt;70;2557;11;131;42;13;27;2317;4925;239588;Wheat;Vegetative;Kharif;Sprinkler;Rice;Central;26933;528;Urea
Loamy;563;1101;67;291;65;47;33;1756;8463;57136;Cotton;Sowing;Kharif;Canal;Sugarcane;East;8157;655;MOP
Clay;601;4841;62;29;33;82;70;2932;4253;167294;Cotton;Harvest;Zaid;Sprinkler;Sugarcane;Central;9641;66;Urea
Sandy;491;3005;2;251;124;81;112;3646;8369;210148;Cotton;Harvest;Rabi;Drip;Potato;North;23929;678;Compost
Sandy;738;5081;28;153;141;43;66;2968;5535;110377;Cotton;Sowing;Kharif;Rainfed;Rice;South;27777;796;SSP
Clay;652;4542;101;12;52;60;53;3314;8509;92818;Potato;Vegetative;Kharif;Canal;Wheat;North;15753;551;Urea
Sandy;734;5144;87;86;139;40;56;3512;8261;221028;Maize;Vegetative;Kharif;Drip;Rice;Central;6761;454;NPK
Silt;55;2428;77;128;50;46;81;1678;5491;118363;Tomato;Harvest;Zaid;Rainfed;Sugarcane;South;20621;364;Urea
Silt;58;1926;128;101;42;53;102;2206;8531;89686;Wheat;Harvest;Kharif;Rainfed;Tomato;North;24117;777;Urea
Silt;584;586;86;115;134;68;46;2308;6796;177614;Wheat;Flowering;Rabi;Sprinkler;Maize;North;1816;555;MOP
Silt;46;4587;7;276;73;27;46;2677;5854;193708;Wheat;Flowering;Zaid;Canal;Rice;West;14805;597;DAP
Sandy;586;517;41;115;103;34;82;1148;6184;237505;Wheat;Vegetative;Kharif;Sprinkler;Rice;Central;21944;613;DAP
Clay;771;1066;127;131;75;19;54;2765;338;3146;Sugarcane;Flowering;Rabi;Sprinkler;Tomato;South;16811;298;DAP
Clay;809;2772;95;231;111;78;39;1266;7846;68857;Maize;Harvest;Zaid;Sprinkler;Rice;East;24542;605;MOP
Clay;657;4714;32;24;27;88;24;342;4755;23763;Tomato;Flowering;Rabi;Drip;Maize;West;5155;261;Urea
Clay;632;139;104;34;81;34;113;3889;4621;168924;Wheat;Sowing;Kharif;Drip;Tomato;West;2021;465;DAP
Loamy;462;3837;75;214;73;60;85;1869;7292;245701;Sugarcane;Sowing;Rabi;Drip;Wheat;North;26142;195;Compost
Clay;802;3145;125;15;138;62;114;252;5225;145587;Potato;Flowering;Kharif;Sprinkler;Wheat;South;22036;469;Zinc Sulphate
Loamy;455;1088;139;49;127;19;36;347;6085;148628;Maize;Vegetative;Kharif;Sprinkler;Wheat;South;19198;728;DAP
Loamy;828;218;98;87;107;58;56;1944;5529;125719;Sugarcane;Flowering;Zaid;Sprinkler;Rice;West;10582;359;Zinc Sulphate
Silt;646;2424;115;23;34;47;56;1473;6028;213535;Cotton;Sowing;Kharif;Drip;Cotton;East;18773;414;Urea
Loamy;587;1559;27;114;133;55;40;3217;4333;185258;Cotton;Flowering;Zaid;Drip;Maize;West;25376;531;SSP
Sandy;82;4158;93;84;24;79;86;3095;831;129965;Sugarcane;Flowering;Kharif;Sprinkler;Maize;North;26453;799;Urea
Loamy;46;2212;118;121;36;20;24;271;6661;72514;Wheat;Flowering;Kharif;Rainfed;Tomato;East;20949;746;Urea
Silt;683;2388;85;178;111;25;63;3833;4402;20671;Maize;Harvest;Rabi;Rainfed;Sugarcane;Central;29609;387;DAP
Loamy;67;5491;97;222;136;41;78;3865;3549;45578;Rice;Sowing;Zaid;Rainfed;Maize;South;7967;788;NPK
Sandy;538;3336;137;186;150;11;51;3585;6213;50195;Sugarcane;Flowering;Zaid;Drip;Wheat;South;22089;622;DAP
Sandy;622;2961;46;207;121;67;71;1879;5809;179428;Tomato;Harvest;Rabi;Drip;Wheat;Central;6087;175;MOP
Sandy;711;4619;33;261;120;47;34;1676;8595;232575;Sugarcane;Vegetative;Rabi;Canal;Wheat;Central;26358;789;MOP
Silt;741;5548;11;263;70;88;21;3507;4384;147926;Sugarcane;Harvest;Kharif;Rainfed;Cotton;East;2444;592;MOP
Silt;45;1125;127;26;73;66;18;2954;829;135993;Wheat;Flowering;Rabi;Sprinkler;Cotton;South;25368;548;MOP
Clay;825;3241;131;54;158;86;99;2188;7599;56991;Sugarcane;Flowering;Rabi;Drip;Maize;North;14035;777;Zinc Sulphate
Silt;516;4054;103;83;109;80;46;2229;5859;272284;Rice;Flowering;Rabi;Sprinkler;Sugarcane;South;10356;456;Compost
Sandy;543;2593;128;156;132;68;18;356;8243;225856;Cotton;Flowering;Kharif;Canal;Potato;East;10312;232;MOP
Sandy;555;4862;111;114;55;66;78;149;8171;136735;Cotton;Harvest;Zaid;Sprinkler;Sugarcane;West;27703;299;Urea
Silt;465;5857;31;48;109;76;64;3832;7287;47164;Tomato;Harvest;Kharif;Canal;Wheat;East;18056;508;Compost
Loamy;499;5717;119;93;139;24;55;290;3609;256904;Maize;Sowing;Kharif;Canal;Potato;Central;9755;257;DAP
Silt;845;233;43;293;110;67;80;3374;3961;67497;Maize;Flowering;Rabi;Drip;Sugarcane;East;6982;295;Zinc Sulphate
Silt;576;2132;51;111;117;12;50;2113;655;208547;Cotton;Sowing;Kharif;Rainfed;Wheat;West;15422;742;DAP
Sandy;496;5787;71;131;79;67;104;2761;4473;11509;Rice;Sowing;Rabi;Sprinkler;Wheat;East;8406;385;Compost
Clay;493;3293;61;12;109;36;117;325;6307;260675;Rice;Vegetative;Kharif;Drip;Cotton;North;13871;652;DAP
Sandy;738;2041;62;219;41;24;110;2305;6365;184345;Wheat;Flowering;Rabi;Drip;Cotton;Central;8379;42;Urea
Clay;792;4535;42;13;43;69;16;2464;6523;8367;Cotton;Sowing;Rabi;Rainfed;Tomato;West;18551;528;Urea
Sandy;553;2422;58;4;159;12;14;2746;6419;23546;Cotton;Harvest;Zaid;Rainfed;Rice;East;6626;782;DAP
Silt;458;2336;23;291;94;37;61;119;5276;7946;Maize;Sowing;Zaid;Canal;Rice;North;6529;112;DAP
Sandy;539;5396;81;235;79;56;90;359;4261;122294;Wheat;Sowing;Zaid;Drip;Rice;South;25412;15;Compost
Sandy;473;1812;12;221;99;74;84;360;6111;218348;Cotton;Flowering;Kharif;Rainfed;Maize;East;709;294;Compost
Sandy;491;1322;132;288;26;62;46;1844;5971;80511;Maize;Flowering;Kharif;Rainfed;Tomato;East;29227;453;Urea
Silt;623;2346;127;128;72;29;69;3639;4651;93221;Maize;Vegetative;Zaid;Sprinkler;Sugarcane;South;19447;774;DAP
Silt;542;4035;74;218;43;20;45;3236;3307;141828;Potato;Harvest;Zaid;Canal;Rice;South;12352;366;Urea
Silt;656;1615;115;7;72;34;100;245;4233;32018;Maize;Sowing;Rabi;Sprinkler;Wheat;North;11802;397;DAP
Silt;551;3358;57;212;32;72;10;2043;6305;235152;Maize;Sowing;Zaid;Drip;Maize;West;21621;555;Urea
Clay;826;4137;27;14;97;13;10;2198;6214;42051;Tomato;Vegetative;Rabi;Rainfed;Potato;East;26573;787;DAP
Clay;812;5244;108;47;114;63;87;2603;3802;226365;Rice;Vegetative;Rabi;Drip;Tomato;Central;18033;286;Zinc Sulphate
Loamy;677;2149;104;133;91;69;69;2238;6636;95029;Tomato;Vegetative;Kharif;Sprinkler;Sugarcane;East;24125;542;NPK
Silt;592;5087;124;14;20;37;101;2261;5536;148781;Sugarcane;Sowing;Kharif;Rainfed;Rice;West;28393;641;Urea
Clay;602;2175;10;144;123;19;50;1609;6922;134911;Tomato;Harvest;Kharif;Drip;Sugarcane;South;20133;241;DAP
Sandy;615;4384;4;162;134;45;74;3123;8328;90913;Maize;Vegetative;Kharif;Canal;Rice;North;15538;245;NPK
Silt;741;3153;131;19;100;89;17;2829;4851;9160;Rice;Harvest;Kharif;Canal;Wheat;East;778;528;MOP
Loamy;631;1573;102;39;60;42;118;3976;5084;285734;Potato;Harvest;Kharif;Rainfed;Cotton;South;22276;645;Urea
Loamy;793;4571;125;62;32;68;50;1424;7061;105532;Sugarcane;Flowering;Kharif;Rainfed;Sugarcane;West;2630;358;Urea
Loamy;828;2089;121;188;46;54;56;1341;8695;71266;Rice;Vegetative;Rabi;Drip;Tomato;Central;5438;699;Urea
Sandy;584;1883;59;201;142;60;116;2548;5917;90138;Sugarcane;Harvest;Zaid;Rainfed;Cotton;Central;21169;414;DAP
Clay;674;2792;3;18;59;55;99;1456;4016;214656;Rice;Sowing;Kharif;Canal;Cotton;Central;6691;438;Urea
Sandy;488;4266;43;167;95;22;45;2832;861;106486;Wheat;Flowering;Zaid;Canal;Potato;South;28567;347;DAP
Silt;53;217;32;238;71;13;102;1588;5819;6805;Rice;Sowing;Zaid;Rainfed;Wheat;East;15364;261;DAP
Loamy;615;1918;52;3;99;51;113;2449;5764;136056;Wheat;Vegetative;Kharif;Rainfed;Cotton;South;9633;272;NPK
Sandy;532;105;8;13;53;36;118;2834;6239;52913;Tomato;Vegetative;Rabi;Canal;Sugarcane;West;10057;592;Urea
Sandy;801;3358;138;105;153;17;13;2374;4515;131626;Sugarcane;Harvest;Zaid;Rainfed;Potato;West;7264;396;DAP
Clay;513;3143;133;275;67;55;51;196;7708;261422;Tomato;Vegetative;Kharif;Drip;Maize;East;21441;296;Compost
Clay;632;2169;113;64;100;17;11;3347;6846;124415;Cotton;Vegetative;Rabi;Sprinkler;Sugarcane;Central;26965;455;DAP
Loamy;692;1268;23;102;26;35;103;3564;8729;163959;Cotton;Flowering;Kharif;Canal;Rice;West;14524;124;Urea
Sandy;727;3146;64;271;25;10;56;1834;4223;240959;Maize;Harvest;Kharif;Canal;Rice;Central;18271;458;Urea
Sandy;603;4941;109;106;72;70;29;344;6715;164473;Potato;Harvest;Zaid;Rainfed;Tomato;North;11472;516;MOP
Clay;798;4576;37;164;20;48;39;2175;610;33269;Tomato;Flowering;Kharif;Sprinkler;Rice;Central;24413;757;Urea
Sandy;677;5304;124;2;48;18;91;2463;8369;80164;Sugarcane;Harvest;Kharif;Sprinkler;Potato;South;21237;583;Urea
Sandy;626;1048;139;296;111;36;39;1695;3182;270394;Potato;Sowing;Rabi;Rainfed;Sugarcane;South;29956;42;DAP
Sandy;477;5832;66;249;122;79;119;2877;7565;244612;Rice;Sowing;Zaid;Rainfed;Sugarcane;North;2628;488;Compost
Clay;636;2707;112;194;142;29;108;1303;6738;232987;Maize;Flowering;Zaid;Sprinkler;Cotton;East;8519;787;DAP
Loamy;778;5952;39;28;121;74;10;2775;6645;173292;Tomato;Harvest;Kharif;Canal;Cotton;North;26103;21;MOP
Silt;696;2263;11;32;117;25;67;3969;8252;118913;Rice;Sowing;Kharif;Sprinkler;Sugarcane;South;6347;563;DAP
Loamy;783;3358;23;168;78;77;76;326;6539;214428;Cotton;Sowing;Zaid;Canal;Maize;South;8734;614;Zinc Sulphate
Silt;648;277;4;93;64;76;32;3685;7296;205738;Maize;Vegetative;Kharif;Rainfed;Tomato;South;14621;374;MOP
Sandy;497;2779;112;191;141;31;54;2393;6874;199973;Sugarcane;Sowing;Kharif;Sprinkler;Tomato;East;9741;288;DAP
Loamy;455;5211;113;183;42;82;113;1426;3417;161029;Tomato;Harvest;Kharif;Drip;Wheat;East;1213;308;Urea
Silt;571;4732;103;253;51;65;31;1865;3677;92629;Sugarcane;Harvest;Zaid;Rainfed;Cotton;Central;22753;359;Urea
Clay;729;5961;82;92;91;66;58;1147;5031;141921;Maize;Sowing;Zaid;Drip;Cotton;West;19022;256;Urea
Clay;766;4068;108;178;130;63;57;2505;7054;163393;Potato;Vegetative;Rabi;Drip;Sugarcane;West;14974;373;NPK
Loamy;568;3316;121;235;94;17;72;2949;3159;80482;Potato;Vegetative;Rabi;Rainfed;Tomato;South;2115;631;DAP
Loamy;648;145;146;152;72;16;57;2273;7636;84416;Maize;Sowing;Kharif;Drip;Maize;West;5005;518;DAP
Sandy;618;5983;136;251;39;85;53;269;4218;241716;Rice;Flowering;Rabi;Canal;Cotton;West;26975;624;Urea
Loamy;614;3758;123;48;148;10;60;1962;6357;109537;Rice;Sowing;Kharif;Rainfed;Rice;North;14859;766;DAP
Sandy;543;4502;11;223;76;63;71;1258;4207;292629;Sugarcane;Sowing;Rabi;Rainfed;Tomato;East;17226;273;Compost
Sandy;505;3034;95;283;85;21;88;2296;4056;142191;Sugarcane;Harvest;Kharif;Sprinkler;Potato;West;7929;332;DAP
Clay;529;3739;36;106;158;89;50;2643;5005;19045;Tomato;Flowering;Kharif;Sprinkler;Rice;North;23932;325;Compost
Clay;472;5713;42;116;65;23;89;3948;8529;161104;Maize;Harvest;Zaid;Sprinkler;Cotton;Central;29876;573;DAP
Silt;529;1832;127;34;49;28;36;2042;4427;158075;Potato;Vegetative;Zaid;Drip;Sugarcane;Central;24158;385;Urea
Clay;454;2462;124;196;26;28;105;3033;3291;269202;Tomato;Sowing;Rabi;Rainfed;Sugarcane;Central;8489;296;Urea
Clay;701;176;10;17;114;86;107;3468;8293;46045;Wheat;Vegetative;Kharif;Sprinkler;Potato;Central;2825;541;NPK
Loamy;577;4961;77;22;62;83;66;2006;5634;116806;Tomato;Sowing;Kharif;Drip;Sugarcane;West;19612;737;Urea
Clay;839;131;23;228;98;37;51;379;6726;100083;Maize;Flowering;Zaid;Canal;Maize;East;26651;313;DAP
Silt;527;1408;63;25;55;86;21;2016;8315;111281;Maize;Sowing;Kharif;Sprinkler;Rice;South;15553;594;Urea
Loamy;588;2492;75;273;148;24;91;3909;7534;275525;Potato;Flowering;Zaid;Sprinkler;Wheat;South;11963;389;DAP
Silt;593;3571;83;168;26;72;91;1006;7779;39569;Cotton;Flowering;Rabi;Sprinkler;Cotton;South;5534;723;Urea
Clay;453;3031;141;141;63;32;69;2903;5881;99348;Potato;Flowering;Zaid;Sprinkler;Maize;North;28715;505;DAP
Silt;786;1224;34;264;80;52;73;337;7124;226551;Maize;Harvest;Kharif;Canal;Maize;North;8845;376;Zinc Sulphate
Loamy;463;5787;87;126;45;19;13;184;8783;8685;Tomato;Vegetative;Zaid;Rainfed;Sugarcane;Central;24551;659;Urea
Sandy;826;5764;68;20;126;45;107;1351;8339;253272;Cotton;Harvest;Zaid;Sprinkler;Potato;North;11959;463;Zinc Sulphate
Silt;807;2397;149;188;126;72;48;1073;6675;112377;Rice;Sowing;Zaid;Rainfed;Cotton;West;19269;569;Zinc Sulphate
Silt;664;4658;132;118;140;58;28;1223;3512;51694;Wheat;Sowing;Zaid;Canal;Maize;East;25641;588;MOP
Loamy;667;3893;77;35;20;23;116;2629;8878;16538;Potato;Flowering;Kharif;Drip;Rice;East;13749;755;Urea
Loamy;712;2187;15;16;82;43;71;3518;4353;163174;Maize;Flowering;Zaid;Rainfed;Wheat;North;15803;148;NPK
Silt;605;2311;87;134;34;48;54;1189;5165;30957;Potato;Flowering;Kharif;Rainfed;Cotton;Central;8595;43;Urea
Clay;709;3456;42;15;74;41;70;134;3842;221015;Tomato;Vegetative;Rabi;Rainfed;Maize;East;15516;496;NPK
Silt;468;3096;92;249;76;89;40;1015;400;59688;Rice;Harvest;Zaid;Rainfed;Maize;South;2564;739;Compost
Loamy;472;2456;49;13;136;31;58;1847;7775;79761;Maize;Harvest;Kharif;Sprinkler;Rice;West;2700;175;DAP
Sandy;633;5038;103;92;39;44;40;3764;377;177495;Maize;Sowing;Rabi;Drip;Tomato;North;20841;266;Urea
Sandy;67;3407;142;144;108;32;51;1829;4136;269419;Rice;Sowing;Rabi;Sprinkler;Cotton;North;16694;755;DAP
Clay;805;4274;122;79;136;34;57;2322;4029;25775;Maize;Sowing;Zaid;Canal;Maize;North;10168;437;DAP
Silt;492;1946;56;36;138;78;29;1537;5221;250369;Wheat;Sowing;Kharif;Drip;Tomato;West;16378;563;MOP
Sandy;779;3668;59;43;102;15;93;1349;7168;231161;Maize;Flowering;Zaid;Sprinkler;Tomato;West;25166;488;DAP
Silt;534;259;29;103;35;69;105;1547;6863;65274;Cotton;Flowering;Kharif;Canal;Wheat;North;1274;73;Urea
Loamy;608;3632;57;14;73;15;29;1631;7348;124453;Potato;Harvest;Zaid;Canal;Wheat;West;25035;164;DAP
